ID,Formation_E
1,343.4555
2,384.8166
3,800.504
4,1171.789
5,1597.739
6,1608.584
7,1603.66
8,1620.455
9,1606.068
10,1611.157
11,336.5363
12,355.4157
13,766.876
14,1141.92
15,1544.09
16,1610.769
17,1599.261
18,1608.086
19,1599.256
20,1597.146
21,334.6779
22,342.0383
23,625.702
24,758.499
25,1157.778
26,1477.407
27,1539.941
28,1546.366
29,1522.186
30,1489.227
31,330.3777
32,319.3726
33,550.8613
34,589.616
35,845.499
36,1030.11
37,1406.191
38,1468.667
39,1550.925
40,1578.747
41,301.833
42,279.8096
43,418.8874
44,526.5461
45,649.245
46,967.932
47,1081.483
48,1311.693
49,1547.343
50,1645.081
51,266.1964
52,246.7801
53,375.1484
54,404.6918
55,597.708
56,616.598
57,889.448
58,1046.901
59,1114.361
60,1346.263
61,222.7268
62,224.3849
63,293.9623
64,305.6392
65,484.0824
66,559.4534
67,676.012
68,963.576
69,1177.741
70,1267.889
71,197.206
72,214.1473
73,265.8117
74,297.9988
75,359.0257
76,441.4829
77,564.5921
78,629.544
79,862.429
80,951.291
81,203.7724
82,185.4429
83,202.0326
84,226.4172
85,323.4997
86,347.7014
87,469.8839
88,459.2555
89,534.604
90,734.2
91,158.9089
92,143.301
93,191.4333
94,207.3185
95,290.0363
96,410.8098
97,410.1062
98,586.3158
99,675.997
100,743.923
101,352.3748
102,412.4716
103,846.981
104,1310.524
105,1673.762
106,1676.205
107,1688.922
108,1675.919
109,1687.605
110,1673.973
111,341.9243
112,358.4215
113,751.169
114,1110.181
115,1545.893
116,1609.648
117,1570.049
118,1595.339
119,1574.248
120,1577.637
121,342.4828
122,344.7366
123,632.273
124,793.908
125,1236.793
126,1434.433
127,1589.233
128,1622.334
129,1619.104
130,1616.672
131,329.2067
132,322.2918
133,536.8136
134,633.679
135,860.991
136,1196.575
137,1314.273
138,1518.569
139,1665.733
140,1640.828
141,301.8382
142,294.573
143,429.6645
144,464.4747
145,661.986
146,916.107
147,1186.306
148,1336.608
149,1487.257
150,1548.951
151,260.8723
152,243.4198
153,358.5336
154,401.1139
155,457.2125
156,629.24
157,784.887
158,958.112
159,1221.825
160,1433.631
161,218.0748
162,209.2522
163,301.5314
164,323.6196
165,408.2218
166,572.6768
167,706.049
168,771.084
169,988.798
170,1176.792
171,143.1387
172,136.0468
173,252.8481
174,305.6662
175,373.9784
176,461.1076
177,539.1446
178,845.277
179,941.691
180,956.222
181,196.7555
182,207.764
183,247.8136
184,289.7963
185,326.3036
186,342.4225
187,449.4194
188,524.7282
189,749.021
190,926.301
191,128.027
192,128.3801
193,181.8489
194,240.3311
195,261.9125
196,280.1179
197,338.9755
198,525.1603
199,589.595
200,758.364
201,89.05091
202,86.06395
203,90.79701
204,88.34115
205,94.72188
206,95.64637
207,93.45353
208,92.99519
209,95.05654
210,100.94985
211,97.08997
212,103.11975
213,107.5107
214,101.9166
215,103.8721
216,105.3116
217,104.8469
218,110.1018
219,111.49
220,105.2183
221,105.7737
222,116.2626
223,113.8556
224,117.8878
225,110.6138
226,116.249
227,114.8528
228,117.2596
229,124.1933
230,119.2573
231,121.0412
232,122.5096
233,123.7083
234,123.6696
235,120.8138
236,134.3403
237,129.4011
238,122.8992
239,127.3935
240,136.7375
241,129.8673
242,134.3681
243,127.9964
244,131.0288
245,140.9547
246,141.3669
247,137.5501
248,141.5932
249,137.132
250,136.0173
251,131.9533
252,143.7222
253,142.5108
254,143.1034
255,148.1967
256,147.2978
257,158.7176
258,150.7045
259,147.8867
260,149.736
261,141.1801
262,145.3282
263,144.8599
264,150.855
265,146.6304
266,153.6509
267,150.252
268,156.6049
269,157.1922
270,159.3722
271,159.6407
272,159.5993
273,152.6903
274,154.6804
275,160.8859
276,161.0387
